Date,Close
7/3/2002,953.99
7/5/2002,989.03
7/8/2002,976.98
7/9/2002,952.83
7/10/2002,920.47
7/11/2002,927.37
7/12/2002,921.39
7/15/2002,917.93
7/16/2002,901.054
7/17/2002,906.04
7/18/2002,881.56
7/19/2002,847.76
7/22/2002,819.85
7/23/2002,797.7
7/24/2002,843.42
7/25/2002,838.68
7/26/2002,852.84
7/29/2002,898.96
7/30/2002,902.78
7/31/2002,911.62
8/1/2002,884.66
8/2/2002,864.24
8/5/2002,834.6
8/6/2002,859.57
8/7/2002,876.77
8/8/2002,905.46
8/9/2002,908.64
8/12/2002,903.8
8/13/2002,884.21
8/14/2002,919.62
8/15/2002,930.25
8/16/2002,928.77
8/19/2002,950.7
8/20/2002,937.43
8/21/2002,949.36
8/22/2002,962.7
8/23/2002,940.86
8/26/2002,947.95
8/27/2002,934.82
8/28/2002,917.87
8/29/2002,917.8
8/30/2002,916.07
9/3/2002,878.02
9/4/2002,893.4
9/5/2002,879.15
9/6/2002,893.92
9/9/2002,902.96
9/10/2002,909.58
9/11/2002,909.45
9/12/2002,886.91
9/13/2002,889.81
9/16/2002,891.1
9/17/2002,873.52
9/18/2002,869.46
9/19/2002,843.32
9/20/2002,845.39
9/23/2002,833.7
9/24/2002,819.29
9/25/2002,839.66
9/26/2002,854.95
9/27/2002,827.37
9/30/2002,815.28
10/1/2002,847.91
10/2/2002,827.91
10/3/2002,818.95
10/4/2002,800.58
10/7/2002,785.28
10/8/2002,798.55
10/9/2002,776.76
10/10/2002,803.92
10/11/2002,835.32
10/14/2002,841.44
10/15/2002,881.27
10/16/2002,860.02
10/17/2002,879.2
10/18/2002,884.39
10/21/2002,899.72
10/22/2002,890.16
10/23/2002,896.14
10/24/2002,882.5
10/25/2002,897.65
10/28/2002,890.23
10/29/2002,882.15
10/30/2002,890.71
10/31/2002,885.76
11/1/2002,900.96
11/4/2002,908.35
11/5/2002,915.39
11/6/2002,923.76
11/7/2002,902.65
11/8/2002,894.74
11/11/2002,876.19
11/12/2002,882.95
11/13/2002,882.53
11/14/2002,904.27
11/15/2002,909.83
11/18/2002,900.36
11/19/2002,896.74
11/20/2002,914.15
11/21/2002,933.76
11/22/2002,930.55
11/25/2002,932.88
11/26/2002,913.31
11/27/2002,938.87
11/29/2002,936.31
12/2/2002,934.53
12/3/2002,920.75
12/4/2002,917.57
12/5/2002,906.55
12/6/2002,912.23
12/9/2002,892
12/10/2002,904.45
12/11/2002,904.96
12/12/2002,901.59
12/13/2002,889.48
12/16/2002,910.4
12/17/2002,902.99
12/18/2002,891.12
12/19/2002,884.25
12/20/2002,895.76
12/23/2002,897.38
12/24/2002,892.47
12/26/2002,889.66
12/27/2002,875.4
12/30/2002,879.39
12/31/2002,879.82
1/2/2003,909.03
1/3/2003,908.59
1/6/2003,929.01
1/7/2003,922.93
1/8/2003,909.93
1/9/2003,927.57
1/10/2003,927.57
1/13/2003,926.26
1/14/2003,931.66
1/15/2003,918.22
1/16/2003,914.6
1/17/2003,901.78
1/21/2003,887.62
1/22/2003,878.36
1/23/2003,887.34
1/24/2003,861.4
1/27/2003,847.48
1/28/2003,858.54
1/29/2003,864.36
1/30/2003,844.61
1/31/2003,855.7
2/3/2003,860.32
2/4/2003,848.2
2/5/2003,843.59
2/6/2003,838.15
2/7/2003,829.69
2/10/2003,835.97
2/11/2003,829.2
2/12/2003,818.68
2/13/2003,817.37
2/14/2003,834.89
2/18/2003,851.17
2/19/2003,845.13
2/20/2003,837.1
2/21/2003,848.17
2/24/2003,832.58
2/25/2003,838.57
2/26/2003,827.55
2/27/2003,837.28
2/28/2003,841.15
3/3/2003,834.81
3/4/2003,821.99
3/5/2003,829.85
3/6/2003,822.1
3/7/2003,828.89
3/10/2003,807.48
3/11/2003,800.73
3/12/2003,804.19
3/13/2003,831.9
3/14/2003,833.27
3/17/2003,862.79
3/18/2003,866.45
3/19/2003,874.02
3/20/2003,875.84
3/21/2003,895.79
3/24/2003,864.23
3/25/2003,874.74
3/26/2003,869.95
3/27/2003,868.52
3/28/2003,863.5
3/31/2003,848.18
4/1/2003,858.48
4/2/2003,880.9
4/3/2003,876.45
4/4/2003,878.85
4/7/2003,879.93
4/8/2003,878.29
4/9/2003,865.99
4/10/2003,871.58
4/11/2003,868.3
4/14/2003,885.23
4/15/2003,890.81
4/16/2003,879.91
4/17/2003,893.58
4/21/2003,892.01
4/22/2003,911.37
4/23/2003,919.02
4/24/2003,911.43
4/25/2003,898.81
4/28/2003,914.84
4/29/2003,917.84
4/30/2003,916.92
5/1/2003,916.3
5/2/2003,930.08
5/5/2003,926.55
5/6/2003,934.39
5/7/2003,929.62
5/8/2003,920.27
5/9/2003,933.41
5/12/2003,945.11
5/13/2003,942.3
5/14/2003,939.28
5/15/2003,946.67
5/16/2003,944.3
5/19/2003,920.77
5/20/2003,919.73
5/21/2003,923.42
5/22/2003,931.87
5/23/2003,933.22
5/27/2003,951.48
5/28/2003,953.22
5/29/2003,949.64
5/30/2003,963.59
6/2/2003,967
6/3/2003,971.56
6/4/2003,986.24
6/5/2003,990.14
6/6/2003,987.76
6/9/2003,975.93
6/10/2003,984.84
6/11/2003,997.48
6/12/2003,998.51
6/13/2003,988.61
6/16/2003,"1,010.74"
6/17/2003,"1,011.66"
6/18/2003,"1,010.09"
6/19/2003,994.7
6/20/2003,995.69
6/23/2003,981.64
6/24/2003,983.45
6/25/2003,975.32
6/26/2003,985.82
6/27/2003,976.22
6/30/2003,974.5
7/1/2003,982.32
7/2/2003,993.75
7/3/2003,985.7
7/7/2003,"1,004.42"
7/8/2003,"1,007.84"
7/9/2003,"1,002.21"
7/10/2003,988.7
7/11/2003,998.14
7/14/2003,"1,003.86"
7/15/2003,"1,000.42"
7/16/2003,994
7/17/2003,981.73
7/18/2003,993.32
7/21/2003,978.8
7/22/2003,988.11
7/23/2003,988.61
7/24/2003,981.6
7/25/2003,998.68
7/28/2003,996.52
7/29/2003,989.28
7/30/2003,987.49
7/31/2003,990.31
8/1/2003,980.15
8/4/2003,982.82
8/5/2003,965.46
8/6/2003,967.08
8/7/2003,974.12
8/8/2003,977.59
8/11/2003,980.59
8/12/2003,990.35
8/13/2003,984.03
8/14/2003,990.51
8/15/2003,990.67
8/18/2003,999.74
8/19/2003,"1,002.35"
8/20/2003,"1,000.30"
8/21/2003,"1,003.27"
8/22/2003,993.06
8/25/2003,993.71
8/26/2003,996.73
8/27/2003,996.79
8/28/2003,"1,002.84"
8/29/2003,"1,008.01"
9/2/2003,"1,021.99"
9/3/2003,"1,026.27"
9/4/2003,"1,027.97"
9/5/2003,"1,021.39"
9/8/2003,"1,031.64"
9/9/2003,"1,023.17"
9/10/2003,"1,010.92"
9/11/2003,"1,016.42"
9/12/2003,"1,018.63"
9/15/2003,"1,014.81"
